"ìùåvñºÅF","êlå˚ìÆë‘í≤ç∏ êlå˚ìÆë‘ìùåv ämíËêî ó£ç•"
"ï\î‘çÜÅF","3"
"ï\ëËÅF","[íÜä™] ó£ç•åèêîÅiìñäYîNÇ…ï ãèÇµìÕÇØèoÇΩÇ‡ÇÃÅjÅCç»ÇÃï ãèéûÇÃîNóÓÅiäeçŒÅjÅEïvÇÃï ãèéûÇÃîNóÓÅiäeçŒÅjï "
"é¿é{îNåéÅF","2024îN","-"

"***","í≤ç∏ñîÇÕèWåvÇµÇƒÇ¢Ç»Ç¢Ç‡ÇÃ"
"-","åvêîÇÃÇ»Ç¢èÍçá"
"Åc","åvêîïsñæÇÃèÍçá"
"ÅE","ìùåvçÄñ⁄ÇÃÇ†ÇËÇ¶Ç»Ç¢èÍçá"

"","","","","","","","","","/ïvÇÃîNóÓ(1çŒäKãâ) ÉRÅ[Éh","00100","00120","00130","00140","00150","00160","00170","00180","00190","00200","00210","00220","00230","00240","00250","00260","00270","00280","00290","00300","00310","00320","00330","00340","00350","00360","00370","00380","00390","00400","00410","00420","00430","00440","00450","00460","00470","00480","00490","00500","00510","00520","00530","00540","00550","00560","00570","00580","00590","00600","00610","00620","00630","00640","00650","00660","00670","00680","00690","00700","00710","00720","00730","00740","00750"
"","","","","","","","","","/ïvÇÃîNóÓ(1çŒäKãâ) ï‚èïÉRÅ[Éh","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"ï\èÕçÄñ⁄ ÉRÅ[Éh","ï\èÕçÄñ⁄ ï‚èïÉRÅ[Éh","ï\èÕçÄñ⁄","éûä‘é≤(îNéü) ÉRÅ[Éh","éûä‘é≤(îNéü) ï‚èïÉRÅ[Éh","éûä‘é≤(îNéü)","ç»ÇÃîNóÓ(1çŒäKãâ) ÉRÅ[Éh","ç»ÇÃîNóÓ(1çŒäKãâ) ï‚èïÉRÅ[Éh","ç»ÇÃîNóÓ(1çŒäKãâ)","/ïvÇÃîNóÓ(1çŒäKãâ)","ïv_ëçêî","ïv_18çŒ","ïv_19çŒ","ïv_20çŒ","ïv_21çŒ","ïv_22çŒ","ïv_23çŒ","ïv_24çŒ","ïv_25çŒ","ïv_26çŒ","ïv_27çŒ","ïv_28çŒ","ïv_29çŒ","ïv_30çŒ","ïv_31çŒ","ïv_32çŒ","ïv_33çŒ","ïv_34çŒ","ïv_35çŒ","ïv_36çŒ","ïv_37çŒ","ïv_38çŒ","ïv_39çŒ","ïv_40çŒ","ïv_41çŒ","ïv_42çŒ","ïv_43çŒ","ïv_44çŒ","ïv_45çŒ","ïv_46çŒ","ïv_47çŒ","ïv_48çŒ","ïv_49çŒ","ïv_50çŒ","ïv_51çŒ","ïv_52çŒ","ïv_53çŒ","ïv_54çŒ","ïv_55çŒ","ïv_56çŒ","ïv_57çŒ","ïv_58çŒ","ïv_59çŒ","ïv_60çŒ","ïv_61çŒ","ïv_62çŒ","ïv_63çŒ","ïv_64çŒ","ïv_65çŒ","ïv_66çŒ","ïv_67çŒ","ïv_68çŒ","ïv_69çŒ","ïv_70çŒ","ïv_71çŒ","ïv_72çŒ","ïv_73çŒ","ïv_74çŒ","ïv_75çŒ","ïv_76çŒ","ïv_77çŒ","ïv_78çŒ","ïv_79çŒ","ïv_80çŒà»è„","ïv_ïsè⁄"
"10310","","ó£ç•åèêîÅyåèÅz","2024000000","","2024îN","00100","","ç»_ëçêî","","135,264","31","144","326","618","860","1,300","1,717","2,217","2,862","3,358","3,659","3,912","3,866","3,939","3,972","3,926","3,752","3,807","3,636","3,849","3,813","3,712","3,799","3,802","3,658","3,581","3,582","3,532","3,484","3,452","3,489","3,463","3,496","3,232","3,069","2,690","2,548","2,491","2,163","1,847","1,605","1,676","1,586","1,403","1,192","1,059","942","915","747","690","611","635","538","495","540","546","506","489","473","363","224","189","1,186","-"
"10310","","ó£ç•åèêîÅyåèÅz","2024000000","","2024îN","00120","","ç»_16çŒ","","ÅE","ÅE","ÅE","ÅE","ÅE","ÅE","ÅE","ÅE","ÅE","ÅE","ÅE","ÅE","ÅE","ÅE","ÅE","ÅE","ÅE","ÅE","ÅE","ÅE","ÅE","ÅE","ÅE","ÅE","ÅE","ÅE","ÅE","ÅE","ÅE","ÅE","ÅE","ÅE","ÅE","ÅE","ÅE","ÅE","ÅE","ÅE","ÅE","ÅE","ÅE","ÅE","ÅE","ÅE","ÅE","ÅE","ÅE","ÅE","ÅE","ÅE","ÅE","ÅE","ÅE","ÅE","ÅE","ÅE","ÅE","ÅE","ÅE","ÅE","ÅE","ÅE","ÅE","ÅE","ÅE"
"10310","","ó£ç•åèêîÅyåèÅz","2024000000","","2024îN","00130","","ç»_17çŒ","","2","1","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"10310","","ó£ç•åèêîÅyåèÅz","2024000000","","2024îN","00140","","ç»_18çŒ","","119","11","31","17","15","16","12","5","2","2","-","-","1","-","1","-","-","-","1","2","-","1","-","-","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"10310","","ó£ç•åèêîÅyåèÅz","2024000000","","2024îN","00150","","ç»_19çŒ","","301","10","53","61","39","34","14","27","13","10","6","4","6","2","1","1","3","2","1","-","3","-","2","-","1","-","-","1","2","1","-","-","1","-","2","-","-","-","-","-","-","-","-","-","-","-","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"10310","","ó£ç•åèêîÅyåèÅz","2024000000","","2024îN","00160","","ç»_20çŒ","","594","2","27","131","118","78","58","44","34","18","19","8","4","8","4","5","3","6","3","1","3","1","3","1","3","1","-","-","-","-","2","3","2","-","-","-","1","-","-","1","-","-","1","-","-","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"10310","","ó£ç•åèêîÅyåèÅz","2024000000","","2024îN","00170","","ç»_21çŒ","","911","3","15","57","212","153","116","74","54","39","47","31","21","15","9","11","4","5","3","7","1","4","3","3","3","3","2","2","3","-","3","1","-","1","-","-","1","-","1","1","1","-","-","-","-","-","2","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
